Data;Godzina;Generacja Zrodel wiatrowych;Generacja Zrodel fotowoltaicznych
30.11.2021;14;4671,65;431,05
30.11.2021;15;4497,738;212,363
30.11.2021;16;4411,688;48,988
30.11.2021;17;4241,813;1,038
30.11.2021;18;4120,65;0,5
30.11.2021;19;4400,413;0,5
30.11.2021;20;4581,388;0,5
30.11.2021;21;4489,563;0,5
30.11.2021;22;3900,95;0,5
30.11.2021;23;3628,55;0,5
30.11.2021;24;3165,1;0,5
01.12.2021;1;2767,363;0,5
01.12.2021;2;2669,388;0,5
01.12.2021;3;2527,063;0,5
01.12.2021;4;2016,363;0,5
01.12.2021;5;1536,713;0,5
01.12.2021;6;1334,463;0,5
01.12.2021;7;1456,713;0,525
01.12.2021;8;1665,675;11,138
01.12.2021;9;1899,25;142,025
01.12.2021;10;2045,163;463,138
01.12.2021;11;2345,463;657,75
01.12.2021;12;2734,425;707,825
01.12.2021;13;3116,413;674,913
01.12.2021;14;3632,388;479,763
01.12.2021;15;4182,588;199,863
01.12.2021;16;4689,3;52,563
01.12.2021;17;5048,313;2,65
01.12.2021;18;5299,825;0,513
01.12.2021;19;5609,575;0,6
01.12.2021;20;5818,163;0,6
01.12.2021;21;5937,2;0,538
01.12.2021;22;6017,888;0,525
01.12.2021;23;6019,5;0,5
01.12.2021;24;6020,013;0,5
02.12.2021;1;6142,263;0,5
02.12.2021;2;6098,263;0,5
02.12.2021;3;6052,538;0,525
02.12.2021;4;6104,05;0,5
02.12.2021;5;6119,963;0,5
02.12.2021;6;6065,088;0,5
02.12.2021;7;6163,588;0,5
02.12.2021;8;6260,663;13,85
02.12.2021;9;6209,575;133,8
02.12.2021;10;6245,613;403,325
02.12.2021;11;6158,45;576,225
02.12.2021;12;6062,838;796,3
02.12.2021;13;6027,85;632,1
02.12.2021;14;5919,35;607,663
02.12.2021;15;5799,2;411,4
02.12.2021;16;5497,738;124,3
02.12.2021;17;5244,413;12,113
02.12.2021;18;4991,525;0,5
02.12.2021;19;4884,988;0,525
02.12.2021;20;4681,625;0,5
02.12.2021;21;4261,938;0,5
02.12.2021;22;3831,625;0,5
02.12.2021;23;3345,1;0,5
02.12.2021;24;3083,675;0,5
